Name,Industry,Revenue (USD),Employees,State,City,Phone Number,Website,Ticker,Holders,Description
Tata Africa Holdings Tanzania Ltd,Automotive Wholesalers,*49000000,90,,,255-222862258,,0958162D TZ,,"Tata Africa Holdings (Tanzania) Limited was founded in 1995. The company's line of business includes the wholesale distribution of new and used passenger automobiles, trucks, trailers, and other motor vehicles."
Mount Meru Millers Ltd,Agricultural Producers,*35000000,600,,,255-272504035,,1262761D TZ,,"Mount Meru Millers Ltd was founded in 1998. The company's line of business includes performing crop planting, cultivating, and protecting services."
Parmalat Zambia Ltd,Packaged Food,*34000000,275,,,0260-211212274,,9843430Z ZL,,"Parmalat Zambia Ltd was founded in 1998. The company's line of business includes manufacturing dry, condensed, and evaporated dairy products."
Road Development Agency/The,Infrastructure Construction,*27000000,650,,,0260-211252259,,0197579D ZL,,Road Development Agency was founded in 2002. The company's line of business includes highway and street construction.
Consolidated Farming Ltd,Agricultural Producers,*25000000,600,,,260-211272149,,0680674D ZL,,Consolidated Farming Ltd was founded in 1996. The company's line of business includes operating general farms that produce crops.
Empresa Nacional de Administracao Dos Portos SA,Infrastructure Construction,*24000000,1000,,,0238-2307500,,6844417Z VR,,Empresa Nacional De Administracao Dos Portos SA was founded in 2001. The Company's line of business includes providing general contracting services such as constructing heavy construction projects.
Cimentos de Cabo Verde SA,Home Products Stores,*22000000,62,,,0238-22603110,,0337685D VR,,"Cimentos de Cabo Verde SA was founded in 2002. The company's line of business includes the wholesale distribution of stone, cement, lime, construction sand, gravel and other construction materials."
African Plantation Co Ltd,Agricultural Producers,*22000000,100,,,0260-4231887,,0389523D ZL,,African Plantation Co. Ltd was founded in 1970. The company's line of business includes operating farms that produce fruits and tree nuts.
Spectra Oil Corp Ltd,Refining & Marketing,*18000000,80,,,0260-111220728,,0928388D ZL,,Spectra Oil Corporation Limited was founded in 1994. The company's line of business includes the wholesale distribution of petroleum and petroleum products.
Swazi Poultry Processors Ltd,Agricultural Producers,*17000000,200,,,268-25187147,,9157931Z SD,,Swazi Poultry Processors Ltd was founded in 1996. The company's line of business includes operating poultry and egg farms.
Cabo Verde Motors SA,Automotive Retailers,*16000000,6450,,,0238-2635100,,6844425Z VR,,"Cabo Verde Motors S.A. was founded in 2006. The Company's line of business includes the wholesale distribution of motor vehicle supplies, accessories, tools, and equipment."
Mont-Trade Pty Ltd,Agricultural Products Whslrs,*16000000,100,,,267-3902365,,1263676D BG,,"Mont-Trade Pty Ltd was founded in 1999. The company's line of business includes the wholesale distribution of animal feeds, fertilizers, agricultural chemicals, and other farm supplies."
DIY Ltd,Home Products Stores,*16000000,200,,,0255-222864114,,1324894D TZ,,Diy Limited was founded in 2005. The company's line of business includes distributing construction materials.
Makishi Service Station Ltd,Midstream - Oil & Gas,*14000000,30,,,0260-977849230,,0818963D ZL,,Makishi Service Station Ltd was founded in 2001. The company's line of business includes the wholesale distribution of crude petroleum and petroleum products.
Broadhurst Motors,Automobiles,*12000000,110,,,267-3912579,,7264793Z BG,,Broadhurst Motors was founded in 1978. The Company's line of business includes the retail sale of new and used automobiles.
Parmalat Swaziland Pty Ltd,Food Products Wholesalers,*11000000,122,,,0268-25184411,,0907506D SD,,Parmalat Swaziland (Pty) Ltd was founded in 1999. The company's line of business includes the wholesale distribution of dairy products.
Spencon Services Ltd Tanzania,Infrastructure Construction,*10000000,250,,Dar-Es-Salaam,255-22-215-0193,www.spencon.com,0197590D TZ,,"Spencon Services Ltd. Tanzania provides construction services. The Company constructs residential apartments, roads, bridges, water treatment plants, and electrical projects. Spencon Services serves customers throughout Africa."
Electrical Maintenance Lusaka Ltd,Electrical Components,*10000000,350,,,0260-211227824,,0662228D ZL,,Electrical Maintenance Lusaka Limited was founded in 1968. The company's line of business includes the manufacturing of electrical equipment and supplies.
Funeral Services Group Ltd,Other Commercial Services,*9000000,330,,,267-3922074,,0332888D BG,,Funeral Services Group Pty Ltd was founded in 2000. The company's line of business includes the operation of nonclassifiable establishments.
Fast Fuel Distributors,Refining & Marketing,*9000000,20,,,0260-211242966,,0823626D ZL,,Fast Fuel Distributors was founded in 1998. The company's line of business includes the wholesale distribution of petroleum and petroleum products.
Sadolin Paints Tanzania Ltd,Specialty Chemicals,*3000000,140,,,0255-222865141,,0390408D TZ,,"Sadolin Paints Tanzania Limited was founded in 1994. The company's line of business includes the manufacturing of paints, varnishes, lacquers, enamels, and other allied products."
Mekonsult,Professional Services,*3000000,5,,,255-222701644,,0940524D TZ,,"Mekonsult Limited was founded in 2009. The company's line of business includes providing accounting, bookkeeping, and related auditing services."
